address,Private Service Line Material,Public Service Line Material
6100 04 W ADDISON ST,SUSPECTED LEAD,SUSPECTED LEAD
6100 04 W ADDISON ST,SUSPECTED LEAD,SUSPECTED LEAD
4252 N AUSTIN AVE,SUSPECTED LEAD,SUSPECTED LEAD
4306 24 N CENTRAL AVE,SUSPECTED LEAD,SUSPECTED LEAD
4306 24 N CENTRAL AVE,SUSPECTED LEAD,SUSPECTED LEAD
5701 W BELMONT AVE,SUSPECTED LEAD,SUSPECTED LEAD
5701 W BELMONT AVE,SUSPECTED LEAD,SUSPECTED LEAD
3501 03 N CENTRAL AVE,SUSPECTED LEAD,SUSPECTED LEAD
3501 03 N CENTRAL AVE,SUSPECTED LEAD,SUSPECTED LEAD
5933 W BELMONT AVE,SUSPECTED LEAD,SUSPECTED LEAD
5933 W BELMONT AVE,SUSPECTED LEAD,SUSPECTED LEAD
6839 45 W BELMONT AVE,SUSPECTED LEAD,SUSPECTED LEAD
6839 45 W BELMONT AVE,SUSPECTED LEAD,SUSPECTED LEAD
3250 58 N NARRAGANSETT AVE,SUSPECTED LEAD,SUSPECTED LEAD
3250 58 N NARRAGANSETT AVE,SUSPECTED LEAD,SUSPECTED LEAD
2906 10 N CENTRAL AVE,SUSPECTED LEAD,SUSPECTED LEAD
5621 25 W BELMONT AVE,SUSPECTED LEAD,SUSPECTED LEAD
S HALSTED & W 125TH ST,SUSPECTED LEAD,SUSPECTED LEAD
850 E 103RD ST,SUSPECTED LEAD,SUSPECTED LEAD
11917 S UNION AVE,SUSPECTED LEAD,SUSPECTED LEAD
12143 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
12046 48 S UNION AVE,SUSPECTED LEAD,SUSPECTED LEAD
12046 48 S UNION AVE,SUSPECTED LEAD,SUSPECTED LEAD
12143 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
134 E 111TH ST,SUSPECTED LEAD,SUSPECTED LEAD
134 E 111TH ST,SUSPECTED LEAD,SUSPECTED LEAD
12601 41 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
10954 56 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
10954 56 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
11847 49 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
11140 44 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
11218 24 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
11221 27 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
12601 41 S HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
11847 49 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
11201 25 S COTTAGE GROVE AVE,SUSPECTED LEAD,SUSPECTED LEAD
11201 25 S COTTAGE GROVE AVE,SUSPECTED LEAD,SUSPECTED LEAD
12027 29 S STEWART AVE,SUSPECTED LEAD,SUSPECTED LEAD
12027 29 S STEWART AVE,SUSPECTED LEAD,SUSPECTED LEAD
10901 03 S EDBROOKE AVE,SUSPECTED LEAD,SUSPECTED LEAD
10901 03 S EDBROOKE AVE,SUSPECTED LEAD,SUSPECTED LEAD
1100 E 130TH ST,SUSPECTED LEAD,SUSPECTED LEAD
1100 E 130TH ST,SUSPECTED LEAD,SUSPECTED LEAD
10701 S CHAMPLAIN AVE,SUSPECTED LEAD,SUSPECTED LEAD
10701 S CHAMPLAIN AVE,SUSPECTED LEAD,SUSPECTED LEAD
10757 61 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
10757 61 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
11407 09 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
11100 06 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
11100 06 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2940 46 W 36TH ST,SUSPECTED LEAD,SUSPECTED LEAD
3704 32 S ST LOUIS AVE,SUSPECTED LEAD,SUSPECTED LEAD
3500 02 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
3500 02 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2940 46 W 36TH ST,SUSPECTED LEAD,SUSPECTED LEAD
3704 32 S ST LOUIS AVE,SUSPECTED LEAD,SUSPECTED LEAD
4030 36 S ARCHER AVE,SUSPECTED LEAD,SUSPECTED LEAD
4030 36 S ARCHER AVE,SUSPECTED LEAD,SUSPECTED LEAD
2916 W 47TH ST,SUSPECTED LEAD,SUSPECTED LEAD
4265 69 S ARCHER AVE,SUSPECTED LEAD,SUSPECTED LEAD
4265 69 S ARCHER AVE,SUSPECTED LEAD,SUSPECTED LEAD
4265 69 S ARCHER AVE,SUSPECTED LEAD,SUSPECTED LEAD
3943 W 47TH ST,SUSPECTED LEAD,SUSPECTED LEAD
5223 25 S KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
5223 25 S KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
5215 17 S KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
5215 17 S KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
5032 S KOSTNER AVE,SUSPECTED LEAD,SUSPECTED LEAD
6050 W 51ST ST,SUSPECTED LEAD,SUSPECTED LEAD
6000 W 51ST ST,SUSPECTED LEAD,SUSPECTED LEAD
5656 W 51ST ST,SUSPECTED LEAD,SUSPECTED LEAD
5800 W 51ST ST,SUSPECTED LEAD,SUSPECTED LEAD
6000 W 51ST ST,SUSPECTED LEAD,SUSPECTED LEAD
6200 W 51ST ST,SUSPECTED LEAD,SUSPECTED LEAD
6118 S ARCHER AVE,SUSPECTED LEAD,SUSPECTED LEAD
6118 S ARCHER AVE,SUSPECTED LEAD,SUSPECTED LEAD
5242 W 63RD PL THOUSE C,SUSPECTED LEAD,SUSPECTED LEAD
5242 W 63RD PL THOUSE C,SUSPECTED LEAD,SUSPECTED LEAD
6850 W 62ND ST,SUSPECTED LEAD,SUSPECTED LEAD
5900 S CENTRAL AVE,SUSPECTED LEAD,SUSPECTED LEAD
5900 S CENTRAL AVE,SUSPECTED LEAD,SUSPECTED LEAD
2622 N CICERO AVE,SUSPECTED LEAD,SUSPECTED LEAD
2300 20 N KILBOURN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2300 20 N KILBOURN AVE,SUSPECTED LEAD,SUSPECTED LEAD
5301 03 W DIVERSEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
5249 53 W FULLERTON AVE,SUSPECTED LEAD,SUSPECTED LEAD
5249 53 W FULLERTON AVE,SUSPECTED LEAD,SUSPECTED LEAD
4222 24 W FULLERTON AVE,SUSPECTED LEAD,SUSPECTED LEAD
4201 23 W DIVERSEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
5301 03 W DIVERSEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
4024 W NORTH AVE,SUSPECTED LEAD,SUSPECTED LEAD
5355 59 W FULLERTON AVE,SUSPECTED LEAD,SUSPECTED LEAD
5355 59 W FULLERTON AVE,SUSPECTED LEAD,SUSPECTED LEAD
5734 W DIVERSEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
5734 W DIVERSEY AVE,SUSPECTED LEAD,SUSPECTED LEAD
4701 05 W GRAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
4701 05 W GRAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
5646 48 W NORTH AVE,SUSPECTED LEAD,SUSPECTED LEAD
5920 26 W NORTH AVE,SUSPECTED LEAD,SUSPECTED LEAD
5920 26 W NORTH AVE,SUSPECTED LEAD,SUSPECTED LEAD
5646 48 W NORTH AVE,SUSPECTED LEAD,SUSPECTED LEAD
2117 N TRIPP AVE,SUSPECTED LEAD,SUSPECTED LEAD
601 W 81ST ST,SUSPECTED LEAD,SUSPECTED LEAD
7545 S WESTERN AVE,SUSPECTED LEAD,SUSPECTED LEAD
8054 58 S WESTERN AVE,SUSPECTED LEAD,SUSPECTED LEAD
8054 58 S WESTERN AVE,SUSPECTED LEAD,SUSPECTED LEAD
8100 S HOYNE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8100 S HOYNE AVE,SUSPECTED LEAD,SUSPECTED LEAD
1656 W 87TH ST,SUSPECTED LEAD,SUSPECTED LEAD
1656 W 87TH ST,SUSPECTED LEAD,SUSPECTED LEAD
8400 02 S ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
1637 W 87TH ST,SUSPECTED LEAD,SUSPECTED LEAD
8335 S HONORE ST,SUSPECTED LEAD,SUSPECTED LEAD
1637 W 87TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2036 W 79TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2036 W 79TH ST,SUSPECTED LEAD,SUSPECTED LEAD
8400 02 S ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
8556 58 S ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
7951 S WESTERN AVE,SUSPECTED LEAD,SUSPECTED LEAD
