address,Private Service Line Material,Public Service Line Material
5356 N SHERIDAN RD,SUSPECTED LEAD,SUSPECTED LEAD
5356 N SHERIDAN RD,SUSPECTED LEAD,SUSPECTED LEAD
1054 68 W ARGYLE ST,SUSPECTED LEAD,SUSPECTED LEAD
5319 25 N CLARK ST,SUSPECTED LEAD,SUSPECTED LEAD
5319 25 N CLARK ST,SUSPECTED LEAD,SUSPECTED LEAD
5300 04 N GLENWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
5300 04 N GLENWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
4616 N ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
4416 N GREENVIEW AVE,SUSPECTED LEAD,SUSPECTED LEAD
4415 N HERMITAGE AVE,SUSPECTED LEAD,SUSPECTED LEAD
4417 N HERMITAGE AVE,SUSPECTED LEAD,SUSPECTED LEAD
4628 N PAULINA ST,SUSPECTED LEAD,SUSPECTED LEAD
4616 N ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
4416 N GREENVIEW AVE,SUSPECTED LEAD,SUSPECTED LEAD
4416 N GREENVIEW AVE,SUSPECTED LEAD,SUSPECTED LEAD
4416 N GREENVIEW AVE,SUSPECTED LEAD,SUSPECTED LEAD
4417 N HERMITAGE AVE,SUSPECTED LEAD,SUSPECTED LEAD
4419 N HERMITAGE AVE,SUSPECTED LEAD,SUSPECTED LEAD
4416 N GREENVIEW AVE,SUSPECTED LEAD,SUSPECTED LEAD
4455 N HERMITAGE AVE,SUSPECTED LEAD,SUSPECTED LEAD
4622 N PAULINA ST,SUSPECTED LEAD,SUSPECTED LEAD
4628 N PAULINA ST,SUSPECTED LEAD,SUSPECTED LEAD
4500 N WINCHESTER AVE,SUSPECTED LEAD,SUSPECTED LEAD
4419 N HERMITAGE AVE,SUSPECTED LEAD,SUSPECTED LEAD
4616 N ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
4500 N WINCHESTER AVE,SUSPECTED LEAD,SUSPECTED LEAD
5101 13 N GLENWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
4616 N ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
4525 27 N ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
4525 27 N ASHLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
5101 13 N GLENWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
1441 51 W ARGYLE ST,SUSPECTED LEAD,SUSPECTED LEAD
1441 51 W ARGYLE ST,SUSPECTED LEAD,SUSPECTED LEAD
3040 E 130TH ST,SUSPECTED LEAD,SUSPECTED LEAD
3040 E 130TH ST,SUSPECTED LEAD,SUSPECTED LEAD
3654 S PRAIRIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
3654 S PRAIRIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
4453 59 S DR MARTIN LUTHER KING JR DR,SUSPECTED LEAD,SUSPECTED LEAD
4431 47 S DR MARTIN LUTHER KING JR DR,SUSPECTED LEAD,SUSPECTED LEAD
4220 28 S CHAMPLAIN AVE,SUSPECTED LEAD,SUSPECTED LEAD
4015 S DREXEL BLVD,SUSPECTED LEAD,SUSPECTED LEAD
S LAKE SHORE DR & 39TH ST,SUSPECTED LEAD,SUSPECTED LEAD
S LAKE SHORE DR & 39TH ST,SUSPECTED LEAD,SUSPECTED LEAD
S LAKE SHORE DR & E 47TH ST,SUSPECTED LEAD,SUSPECTED LEAD
S LAKE SHORE DR & E 47TH ST,SUSPECTED LEAD,SUSPECTED LEAD
4220 28 S CHAMPLAIN AVE,SUSPECTED LEAD,SUSPECTED LEAD
958 60 W CHICAGO AVE,SUSPECTED LEAD,SUSPECTED LEAD
958 60 W CHICAGO AVE,SUSPECTED LEAD,SUSPECTED LEAD
644 N BISHOP ST,SUSPECTED LEAD,SUSPECTED LEAD
1506 N ELSTON AVE,SUSPECTED LEAD,SUSPECTED LEAD
1133 35 W GRAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
1133 35 W GRAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
912 20 W SUPERIOR ST,SUSPECTED LEAD,SUSPECTED LEAD
912 20 W SUPERIOR ST,SUSPECTED LEAD,SUSPECTED LEAD
1403 W SUPERIOR ST,SUSPECTED LEAD,SUSPECTED LEAD
1403 W SUPERIOR ST,SUSPECTED LEAD,SUSPECTED LEAD
1536 38 N HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
1536 38 N HALSTED ST,SUSPECTED LEAD,SUSPECTED LEAD
1533 39 W CHICAGO AVE,SUSPECTED LEAD,SUSPECTED LEAD
1434 36 N GREENVIEW AVE,SUSPECTED LEAD,SUSPECTED LEAD
1434 36 N GREENVIEW AVE,SUSPECTED LEAD,SUSPECTED LEAD
1249 W ERIE ST,SUSPECTED LEAD,SUSPECTED LEAD
1400 N GREENVIEW AVE,SUSPECTED LEAD,SUSPECTED LEAD
1400 N GREENVIEW AVE,SUSPECTED LEAD,SUSPECTED LEAD
1501 W FRY ST,SUSPECTED LEAD,SUSPECTED LEAD
1549 51 W CHICAGO AVE,SUSPECTED LEAD,SUSPECTED LEAD
1249 W ERIE ST,SUSPECTED LEAD,SUSPECTED LEAD
1501 W FRY ST,SUSPECTED LEAD,SUSPECTED LEAD
1314 16 N MILWAUKEE AVE,SUSPECTED LEAD,SUSPECTED LEAD
1314 16 N MILWAUKEE AVE,SUSPECTED LEAD,SUSPECTED LEAD
6242 N KENMORE AVE,SUSPECTED LEAD,SUSPECTED LEAD
6242 N KENMORE AVE,SUSPECTED LEAD,SUSPECTED LEAD
5938 40 N BROADWAY,SUSPECTED LEAD,SUSPECTED LEAD
5938 40 N BROADWAY,SUSPECTED LEAD,SUSPECTED LEAD
6200 08 N WINTHROP AVE,SUSPECTED LEAD,SUSPECTED LEAD
3751 W DEVON AVE,SUSPECTED LEAD,SUSPECTED LEAD
3950 W GLENLAKE AVE,SUSPECTED LEAD,SUSPECTED LEAD
3950 W GLENLAKE AVE,SUSPECTED LEAD,SUSPECTED LEAD
3950 W GLENLAKE AVE,SUSPECTED LEAD,SUSPECTED LEAD
3751 W DEVON AVE,SUSPECTED LEAD,SUSPECTED LEAD
3950 W GLENLAKE AVE,SUSPECTED LEAD,SUSPECTED LEAD
3950 W GLENLAKE AVE,SUSPECTED LEAD,SUSPECTED LEAD
3950 W GLENLAKE AVE,SUSPECTED LEAD,SUSPECTED LEAD
3751 W DEVON AVE,SUSPECTED LEAD,SUSPECTED LEAD
3950 W GLENLAKE AVE,SUSPECTED LEAD,SUSPECTED LEAD
5750 N ST LOUIS AVE,SUSPECTED LEAD,SUSPECTED LEAD
3520 W THORNDALE AVE,SUSPECTED LEAD,SUSPECTED LEAD
3520 W THORNDALE AVE,SUSPECTED LEAD,SUSPECTED LEAD
5802 N CENTRAL PARK AVE,SUSPECTED LEAD,SUSPECTED LEAD
5802 N CENTRAL PARK AVE,SUSPECTED LEAD,SUSPECTED LEAD
5812 N KIMBALL AVE,SUSPECTED LEAD,SUSPECTED LEAD
834 W MADISON ST,SUSPECTED LEAD,SUSPECTED LEAD
834 W MADISON ST,SUSPECTED LEAD,SUSPECTED LEAD
309 W TAYLOR ST,SUSPECTED LEAD,SUSPECTED LEAD
701 15 W VERNON PARK PL,SUSPECTED LEAD,SUSPECTED LEAD
900 20 W MADISON ST,SUSPECTED LEAD,SUSPECTED LEAD
14 N PEORIA ST,SUSPECTED LEAD,SUSPECTED LEAD
1530 W ADAMS ST,SUSPECTED LEAD,SUSPECTED LEAD
1530 W ADAMS ST,SUSPECTED LEAD,SUSPECTED LEAD
1129 W TAYLOR ST,SUSPECTED LEAD,SUSPECTED LEAD
910 W VAN BUREN ST,SUSPECTED LEAD,SUSPECTED LEAD
900 10 W JACKSON BLVD,SUSPECTED LEAD,SUSPECTED LEAD
900 10 W JACKSON BLVD,SUSPECTED LEAD,SUSPECTED LEAD
910 W VAN BUREN ST,SUSPECTED LEAD,SUSPECTED LEAD
1063 67 W TAYLOR ST,SUSPECTED LEAD,SUSPECTED LEAD
1063 67 W TAYLOR ST,SUSPECTED LEAD,SUSPECTED LEAD
1129 W TAYLOR ST,SUSPECTED LEAD,SUSPECTED LEAD
821 S MORGAN ST,SUSPECTED LEAD,SUSPECTED LEAD
1455 N NORTH PARK AVE,SUSPECTED LEAD,SUSPECTED LEAD
1455 60 N SANDBURG TER,SUSPECTED LEAD,SUSPECTED LEAD
1016 20 N DEARBORN ST,SUSPECTED LEAD,SUSPECTED LEAD
158 W BURTON PL,SUSPECTED LEAD,SUSPECTED LEAD
158 W BURTON PL,SUSPECTED LEAD,SUSPECTED LEAD
1432 N ASTOR ST,SUSPECTED LEAD,SUSPECTED LEAD
1432 N ASTOR ST,SUSPECTED LEAD,SUSPECTED LEAD
1555 N STATE PKWY,SUSPECTED LEAD,SUSPECTED LEAD
4734 N CUMBERLAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
W WEST 131ST & SOUTH HALSTED,SUSPECTED LEAD,SUSPECTED LEAD
319 E 137TH ST,SUSPECTED LEAD,SUSPECTED LEAD
319 E 137TH ST,SUSPECTED LEAD,SUSPECTED LEAD
333 S STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
333 S STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
333 S STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
5401 W 47TH ST,SUSPECTED LEAD,SUSPECTED LEAD
5401 W 47TH ST,SUSPECTED LEAD,SUSPECTED LEAD
8001 W BELMONT AVE,SUSPECTED LEAD,SUSPECTED LEAD
5063 S MERRIMAC AVE,SUSPECTED LEAD,SUSPECTED LEAD
200 00 E DELAWARE PL,SUSPECTED LEAD,SUSPECTED LEAD
621 S PLYMOUTH CT,SUSPECTED LEAD,SUSPECTED LEAD
621 S PLYMOUTH CT,SUSPECTED LEAD,SUSPECTED LEAD
621 S PLYMOUTH CT,SUSPECTED LEAD,SUSPECTED LEAD
212 14 E OHIO ST,SUSPECTED LEAD,SUSPECTED LEAD
425 E MCFETRIDGE DR,SUSPECTED LEAD,SUSPECTED LEAD
1160 S PLYMOUTH CT UNIT,SUSPECTED LEAD,SUSPECTED LEAD
1160 S PLYMOUTH CT UNIT,SUSPECTED LEAD,SUSPECTED LEAD
425 E MCFETRIDGE DR,SUSPECTED LEAD,SUSPECTED LEAD
425 E MCFETRIDGE DR,SUSPECTED LEAD,SUSPECTED LEAD
333 S STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
161 W 9TH ST,SUSPECTED LEAD,SUSPECTED LEAD
1234 36 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
1234 36 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
560 70 W LAKE ST,SUSPECTED LEAD,SUSPECTED LEAD
178 84 N MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
525 W MONROE ST,SUSPECTED LEAD,SUSPECTED LEAD
525 W MONROE ST,SUSPECTED LEAD,SUSPECTED LEAD
525 W MONROE ST,SUSPECTED LEAD,SUSPECTED LEAD
1249 59 S WABASH AVE,SUSPECTED LEAD,SUSPECTED LEAD
127 S STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
131 33 S STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
600 12 W WASHINGTON BLVD,SUSPECTED LEAD,SUSPECTED LEAD
206 12 S STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
206 12 S STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
18 22 E ADAMS ST,SUSPECTED LEAD,SUSPECTED LEAD
18 22 E ADAMS ST,SUSPECTED LEAD,SUSPECTED LEAD
127 S STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
231 33 S STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
231 33 S STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
8 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
N STATE & W WASHINGTON ST,SUSPECTED LEAD,SUSPECTED LEAD
22 W MADISON ST,SUSPECTED LEAD,SUSPECTED LEAD
22 W MADISON ST,SUSPECTED LEAD,SUSPECTED LEAD
300 E MONROE DR,SUSPECTED LEAD,SUSPECTED LEAD
311 25 W WASHINGTON ST,SUSPECTED LEAD,SUSPECTED LEAD
300 10 W ADAMS ST,SUSPECTED LEAD,SUSPECTED LEAD
200 S WACKER DR,SUSPECTED LEAD,SUSPECTED LEAD
300 E MONROE DR,SUSPECTED LEAD,SUSPECTED LEAD
300 E MONROE DR,SUSPECTED LEAD,SUSPECTED LEAD
S LAKE SHORE DR & E JACKSON,SUSPECTED LEAD,SUSPECTED LEAD
S COLUMBUS DR & E BALBO,SUSPECTED LEAD,SUSPECTED LEAD
S WACKER DR,SUSPECTED LEAD,SUSPECTED LEAD
S WACKER DR,SUSPECTED LEAD,SUSPECTED LEAD
8-14 E LAKE ST,SUSPECTED LEAD,SUSPECTED LEAD
301 17 N MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
165 E ONTARIO ST,SUSPECTED LEAD,SUSPECTED LEAD
100 E BELLEVUE PL,SUSPECTED LEAD,SUSPECTED LEAD
51 E OAK ST,SUSPECTED LEAD,SUSPECTED LEAD
405 N WABASH AVE,SUSPECTED LEAD,SUSPECTED LEAD
405 N WABASH AVE,SUSPECTED LEAD,SUSPECTED LEAD
540 N MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
157 E OHIO ST,SUSPECTED LEAD,SUSPECTED LEAD
58 E WALTON ST,SUSPECTED LEAD,SUSPECTED LEAD
58 E WALTON ST,SUSPECTED LEAD,SUSPECTED LEAD
62 E CHICAGO AVE,SUSPECTED LEAD,SUSPECTED LEAD
62 E CHICAGO AVE,SUSPECTED LEAD,SUSPECTED LEAD
1 W OHIO ST,SUSPECTED LEAD,SUSPECTED LEAD
131 W CARROLL AVE,SUSPECTED LEAD,SUSPECTED LEAD
131 W CARROLL AVE,SUSPECTED LEAD,SUSPECTED LEAD
201 W KINZIE ST,SUSPECTED LEAD,SUSPECTED LEAD
201 W KINZIE ST,SUSPECTED LEAD,SUSPECTED LEAD
201 W KINZIE ST,SUSPECTED LEAD,SUSPECTED LEAD
300 N STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
325 N WELLS ST,SUSPECTED LEAD,SUSPECTED LEAD
400 10 N WELLS ST,SUSPECTED LEAD,SUSPECTED LEAD
743 45 N LA SALLE DR,SUSPECTED LEAD,SUSPECTED LEAD
743 45 N LA SALLE DR,SUSPECTED LEAD,SUSPECTED LEAD
401 W ONTARIO ST,SUSPECTED LEAD,SUSPECTED LEAD
401 W ONTARIO ST,SUSPECTED LEAD,SUSPECTED LEAD
400 10 N WELLS ST,SUSPECTED LEAD,SUSPECTED LEAD
412 14 N STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
412 14 N STATE ST,SUSPECTED LEAD,SUSPECTED LEAD
7506 N RIDGE BLVD,SUSPECTED LEAD,SUSPECTED LEAD
7506 N RIDGE BLVD,SUSPECTED LEAD,SUSPECTED LEAD
7506 N RIDGE BLVD,SUSPECTED LEAD,SUSPECTED LEAD
7506 N RIDGE BLVD,SUSPECTED LEAD,SUSPECTED LEAD
7506 N RIDGE BLVD,SUSPECTED LEAD,SUSPECTED LEAD
7537 N BELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
6909 N RIDGE BLVD,SUSPECTED LEAD,SUSPECTED LEAD
6909 N RIDGE BLVD,SUSPECTED LEAD,SUSPECTED LEAD
6915 N RIDGE BLVD,SUSPECTED LEAD,SUSPECTED LEAD
6915 N RIDGE BLVD,SUSPECTED LEAD,SUSPECTED LEAD
7511 N BELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
7511 N BELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
7511 N BELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
7537 N BELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
7511 N BELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
7537 N BELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
6915 N RIDGE BLVD,SUSPECTED LEAD,SUSPECTED LEAD
7338 N WINCHESTER AVE,SUSPECTED LEAD,SUSPECTED LEAD
1791 W GREENLEAF AVE,SUSPECTED LEAD,SUSPECTED LEAD
7338 N WINCHESTER AVE,SUSPECTED LEAD,SUSPECTED LEAD
1801 W ESTES AVE,SUSPECTED LEAD,SUSPECTED LEAD
1739 W FARWELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
1790 W LUNT AVE,SUSPECTED LEAD,SUSPECTED LEAD
1790 W LUNT AVE,SUSPECTED LEAD,SUSPECTED LEAD
1808 W LUNT AVE,SUSPECTED LEAD,SUSPECTED LEAD
1918 W PRATT BLVD,SUSPECTED LEAD,SUSPECTED LEAD
1608 W TOUHY AVE,SUSPECTED LEAD,SUSPECTED LEAD
1616 W TOUHY AVE,SUSPECTED LEAD,SUSPECTED LEAD
1616 W TOUHY AVE,SUSPECTED LEAD,SUSPECTED LEAD
1791 W GREENLEAF AVE,SUSPECTED LEAD,SUSPECTED LEAD
1801 W ESTES AVE,SUSPECTED LEAD,SUSPECTED LEAD
1739 W FARWELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
1739 W FARWELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
1739 W FARWELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
1739 W FARWELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
1739 W FARWELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
1528 W ESTES AVE,SUSPECTED LEAD,SUSPECTED LEAD
1808 W LUNT AVE,SUSPECTED LEAD,SUSPECTED LEAD
1808 W LUNT AVE,SUSPECTED LEAD,SUSPECTED LEAD
1914 W PRATT BLVD,SUSPECTED LEAD,SUSPECTED LEAD
1914 W PRATT BLVD,SUSPECTED LEAD,SUSPECTED LEAD
1739 W FARWELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
6957 N ASHLAND BLVD,SUSPECTED LEAD,SUSPECTED LEAD
1763 W MORSE AVE,SUSPECTED LEAD,SUSPECTED LEAD
1808 W LUNT AVE,SUSPECTED LEAD,SUSPECTED LEAD
1808 W LUNT AVE,SUSPECTED LEAD,SUSPECTED LEAD
1616 W TOUHY AVE,SUSPECTED LEAD,SUSPECTED LEAD
6736 44 N SHERIDAN RD,SUSPECTED LEAD,SUSPECTED LEAD
1439 51 W HOWARD ST,SUSPECTED LEAD,SUSPECTED LEAD
7559 N CLARK ST,SUSPECTED LEAD,SUSPECTED LEAD
6736 44 N SHERIDAN RD,SUSPECTED LEAD,SUSPECTED LEAD
1734 36 W ESTES AVE,SUSPECTED LEAD,SUSPECTED LEAD
1734 36 W ESTES AVE,SUSPECTED LEAD,SUSPECTED LEAD
6914 18 N GLENWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6914 18 N GLENWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
1709 W FOSTER AVE,SUSPECTED LEAD,SUSPECTED LEAD
5356 58 N CLARK ST,SUSPECTED LEAD,SUSPECTED LEAD
1602 06 W FARRAGUT AVE,SUSPECTED LEAD,SUSPECTED LEAD
1602 06 W FARRAGUT AVE,SUSPECTED LEAD,SUSPECTED LEAD
5555 N WOLCOTT AVE,SUSPECTED LEAD,SUSPECTED LEAD
6318 22 N CLARK ST,SUSPECTED LEAD,SUSPECTED LEAD
1819 W NORWOOD ST,SUSPECTED LEAD,SUSPECTED LEAD
1819 W NORWOOD ST,SUSPECTED LEAD,SUSPECTED LEAD
1819 W NORWOOD ST,SUSPECTED LEAD,SUSPECTED LEAD
1827 W NORWOOD ST,SUSPECTED LEAD,SUSPECTED LEAD
1819 W NORWOOD ST,SUSPECTED LEAD,SUSPECTED LEAD
1827 W NORWOOD ST,SUSPECTED LEAD,SUSPECTED LEAD
6200 36 N CLARK ST,SUSPECTED LEAD,SUSPECTED LEAD
6964 N HAMILTON AVE,SUSPECTED LEAD,SUSPECTED LEAD
2084 90 W PRATT BLVD,SUSPECTED LEAD,SUSPECTED LEAD
2084 90 W PRATT BLVD,SUSPECTED LEAD,SUSPECTED LEAD
5644 50 N WESTERN AVE,SUSPECTED LEAD,SUSPECTED LEAD
5644 50 N WESTERN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2735 39 W PETERSON AVE,SUSPECTED LEAD,SUSPECTED LEAD
2542 48 W PETERSON AVE,SUSPECTED LEAD,SUSPECTED LEAD
2542 48 W PETERSON AVE,SUSPECTED LEAD,SUSPECTED LEAD
2414 24 W PETERSON AVE,SUSPECTED LEAD,SUSPECTED LEAD
2550 58 W PETERSON AVE,SUSPECTED LEAD,SUSPECTED LEAD
2034 W PETERSON AVE,SUSPECTED LEAD,SUSPECTED LEAD
6031 N WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
5928 50 N WESTERN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2550 58 W PETERSON AVE,SUSPECTED LEAD,SUSPECTED LEAD
6131 N RICHMOND ST,SUSPECTED LEAD,SUSPECTED LEAD
6300 16 N MCCORMICK RD,SUSPECTED LEAD,SUSPECTED LEAD
6300 16 N MCCORMICK RD,SUSPECTED LEAD,SUSPECTED LEAD
2401 13 W DEVON AVE,SUSPECTED LEAD,SUSPECTED LEAD
2401 13 W DEVON AVE,SUSPECTED LEAD,SUSPECTED LEAD
2500 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2514 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2514 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2526 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2462 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2450 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
7311 N CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
2528 W JEROME ST,SUSPECTED LEAD,SUSPECTED LEAD
2534 W JEROME ST,SUSPECTED LEAD,SUSPECTED LEAD
2546 W JEROME ST,SUSPECTED LEAD,SUSPECTED LEAD
2551 W HOWARD ST,SUSPECTED LEAD,SUSPECTED LEAD
2551 W HOWARD ST,SUSPECTED LEAD,SUSPECTED LEAD
2543 W HOWARD ST,SUSPECTED LEAD,SUSPECTED LEAD
2534 W JEROME ST,SUSPECTED LEAD,SUSPECTED LEAD
2532 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2538 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2538 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2538 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2462 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
7317 N CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
7317 N CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
7321 N CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
7251 N CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
2537 W HOWARD ST,SUSPECTED LEAD,SUSPECTED LEAD
2537 W HOWARD ST,SUSPECTED LEAD,SUSPECTED LEAD
2537 W HOWARD ST,SUSPECTED LEAD,SUSPECTED LEAD
7251 N CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
7028 N RIDGE BLVD,SUSPECTED LEAD,SUSPECTED LEAD
2611 W PRATT BLVD,SUSPECTED LEAD,SUSPECTED LEAD
2543 W HOWARD ST,SUSPECTED LEAD,SUSPECTED LEAD
7061 N KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
7249 N CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
7311 N CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
2526 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2500 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2532 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2532 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2520 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2526 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2532 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2543 W HOWARD ST,SUSPECTED LEAD,SUSPECTED LEAD
2546 W JEROME ST,SUSPECTED LEAD,SUSPECTED LEAD
2547 W JEROME ST,SUSPECTED LEAD,SUSPECTED LEAD
7249 N CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
7321 N CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
2500 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2514 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2500 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2544 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2544 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2544 W BIRCHWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2528 W JEROME ST,SUSPECTED LEAD,SUSPECTED LEAD
2547 W JEROME ST,SUSPECTED LEAD,SUSPECTED LEAD
4834 N OAK PARK AVE,SUSPECTED LEAD,SUSPECTED LEAD
7720 W CATALPA AVE,SUSPECTED LEAD,SUSPECTED LEAD
5207 N ROSE ST,SUSPECTED LEAD,SUSPECTED LEAD
5207 N ROSE ST,SUSPECTED LEAD,SUSPECTED LEAD
5310 N CHESTER AVE,SUSPECTED LEAD,SUSPECTED LEAD
5250 60 N HARLEM AVE,SUSPECTED LEAD,SUSPECTED LEAD
5250 60 N HARLEM AVE,SUSPECTED LEAD,SUSPECTED LEAD
6520 N NORTHWEST HWY,SUSPECTED LEAD,SUSPECTED LEAD
7754 W HIGGINS AVE,SUSPECTED LEAD,SUSPECTED LEAD
7808 W HIGGINS AVE,SUSPECTED LEAD,SUSPECTED LEAD
7808 W HIGGINS AVE,SUSPECTED LEAD,SUSPECTED LEAD
7800 W HIGGINS AVE,SUSPECTED LEAD,SUSPECTED LEAD
7754 W HIGGINS AVE,SUSPECTED LEAD,SUSPECTED LEAD
7911 W BRYN MAWR AVE,SUSPECTED LEAD,SUSPECTED LEAD
7944 W BRYN MAWR AVE,SUSPECTED LEAD,SUSPECTED LEAD
7944 W BRYN MAWR AVE,SUSPECTED LEAD,SUSPECTED LEAD
7504 N OLCOTT AVE,SUSPECTED LEAD,SUSPECTED LEAD
7711 W HOWARD ST,SUSPECTED LEAD,SUSPECTED LEAD
7754 W HIGGINS AVE,SUSPECTED LEAD,SUSPECTED LEAD
6520 N NORTHWEST HWY,SUSPECTED LEAD,SUSPECTED LEAD
7355 W ESTES AVE,SUSPECTED LEAD,SUSPECTED LEAD
7355 W ESTES AVE,SUSPECTED LEAD,SUSPECTED LEAD
7911 W BRYN MAWR AVE,SUSPECTED LEAD,SUSPECTED LEAD
6512 N NORTHWEST HWY,LEAD,SUSPECTED LEAD
6514 N NORTHWEST HWY,LEAD,SUSPECTED LEAD
6516 N NORTHWEST HWY,LEAD,SUSPECTED LEAD
6512 N NORTHWEST HWY,LEAD,SUSPECTED LEAD
6514 N NORTHWEST HWY,LEAD,SUSPECTED LEAD
6526 N NORTHWEST HWY,LEAD,SUSPECTED LEAD
6516 N NORTHWEST HWY,LEAD,SUSPECTED LEAD
6518 N NORTHWEST HWY,LEAD,SUSPECTED LEAD
