cluster,longitude,latitude,Max
0,-87.69356937753159,41.88060910138378,4.626652300671822
1,-87.53383070594828,41.69723219568966,5.867241379310345
2,-87.54796021987953,41.656937671927714,6.8095180722891575
3,-87.73321821818182,41.94087884181818,33.699999999999996
4,-87.56563278142858,41.71762997857143,34.44285714285714
5,-87.61114459166667,41.652271213333336,6.733333333333333
6,-87.61207383666668,41.70061793,28.2
