Address,Private Service Line Material,Public Service Line Material
6157 59 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
6157 59 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
2505 W 61ST ST,SUSPECTED LEAD,SUSPECTED LEAD
6400 02 S ROCKWELL ST,SUSPECTED LEAD,SUSPECTED LEAD
6355 57 S TALMAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6315 19 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6500 04 S MAPLEWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6315 19 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
6323 31 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
6355 57 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
6401 05 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
6346 52 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6400 04 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2453 57 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
2545 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
2538 42 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2635 39 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2545 47 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2600 02 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2612 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2650 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2417 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2543 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
6003 05 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6100 04 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6236 40 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6057 59 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
6044 46 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6056 58 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6154 58 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
6000 04 S TALMAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2615 21 W 61ST ST,SUSPECTED LEAD,SUSPECTED LEAD
6201 03 S ROCKWELL ST,SUSPECTED LEAD,SUSPECTED LEAD
2524 26 W 60TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2447 W 61ST ST,SUSPECTED LEAD,SUSPECTED LEAD
2444 50 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2614 24 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
2536 40 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
6652 54 S ROCKWELL ST,SUSPECTED LEAD,SUSPECTED LEAD
6422 24 S TALMAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6639 41 S TALMAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6355 57 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
2649 59 W 64TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2600 10 W 65TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2651 57 W 65TH ST,SUSPECTED LEAD,SUSPECTED LEAD
6554 58 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6403 S MAPLEWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6501 03 S MAPLEWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2432 42 W 64TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2416 18 W 66TH ST,SUSPECTED LEAD,SUSPECTED LEAD
6555 59 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
6358 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6454 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6557 59 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6601 05 S CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
6600 04 S MAPLEWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2446 48 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
2500 02 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
2522 24 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
6757 59 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6827 29 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6849 59 S CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
2448 W 68TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2535 37 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
6905 S CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
2512 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2651 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2753 55 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2436 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
6048 50 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2524 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2539 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
6200 02 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2735 41 W 59TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2532 34 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2623 27 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2421 23 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2420 22 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
2423 25 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
2534 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2558 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2608 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2616 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2622 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2638 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2656 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
6900 10 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2419 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2441 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2449 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2501 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2507 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2519 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2549 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2553 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2430 40 W 60TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2412 22 W 61ST ST,SUSPECTED LEAD,SUSPECTED LEAD
2438 40 W 62ND ST,SUSPECTED LEAD,SUSPECTED LEAD
6039 41 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
5958 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6218 20 S TALMAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2722 24 W 60TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2723 25 W 60TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2714 16 W 61ST ST,SUSPECTED LEAD,SUSPECTED LEAD
2723 25 W 61ST ST,SUSPECTED LEAD,SUSPECTED LEAD
2614 24 W 62ND ST,SUSPECTED LEAD,SUSPECTED LEAD
2500 10 W 60TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2548 58 W 60TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2600 02 W 61ST ST,SUSPECTED LEAD,SUSPECTED LEAD
2532 40 W 62ND ST,SUSPECTED LEAD,SUSPECTED LEAD
6620 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6626 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6638 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6642 44 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6318 20 S ROCKWELL ST,SUSPECTED LEAD,SUSPECTED LEAD
6336 38 S ROCKWELL ST,SUSPECTED LEAD,SUSPECTED LEAD
6420 22 S ROCKWELL ST,SUSPECTED LEAD,SUSPECTED LEAD
6442 44 S ROCKWELL ST,SUSPECTED LEAD,SUSPECTED LEAD
6556 58 S ROCKWELL ST,SUSPECTED LEAD,SUSPECTED LEAD
6605 07 S ROCKWELL ST,SUSPECTED LEAD,SUSPECTED LEAD
6350 52 S TALMAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6436 38 S TALMAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6514 16 S TALMAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6642 44 S TALMAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6423 25 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
6423 25 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
6522 24 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
2623 27 W 65TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2549 59 W 66TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2741 43 W 66TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2435 37 W 64TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2435 37 W 65TH ST,SUSPECTED LEAD,SUSPECTED LEAD
6407 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
6551 53 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2715 25 W 64TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2501 11 W 66TH ST,SUSPECTED LEAD,SUSPECTED LEAD
6808 10 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2432 44 W 68TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2454 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2506 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
6955 57 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6958 S MAPLEWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2505 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2517 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2548 W 70TH ST,SUSPECTED LEAD,SUSPECTED LEAD
6136 38 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6226 28 S TALMAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2501 11 W 64TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2510 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2606 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
6426 28 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2521 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
6040 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
6616 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
6408 10 S ROCKWELL ST,SUSPECTED LEAD,SUSPECTED LEAD
6624 26 S TALMAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2413 23 W 64TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2414 22 W 64TH ST,SUSPECTED LEAD,SUSPECTED LEAD
6339 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
6611 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
6805 07 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6756 58 S CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
2514 W 68TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2400 08 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2555 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2447 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2535 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2624 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2451 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2523 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
6812 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
6804 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
2410 12 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2416 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2755 57 W 59TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2601 03 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2613 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2534 40 W 64TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2506 08 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
2433 35 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
2511 19 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
2523 25 W MARQUETTE RD,SUSPECTED LEAD,SUSPECTED LEAD
2548 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2632 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2425 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2514 W 70TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2701 05 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
2701 07 W 63RD ST,SUSPECTED LEAD,SUSPECTED LEAD
6649 55 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
6142 44 S TALMAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
6609 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2515 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2424 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2640 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
3518 W 72ND PL,SUSPECTED LEAD,SUSPECTED LEAD
3548 W 71ST PL,SUSPECTED LEAD,SUSPECTED LEAD
7136 S SAWYER AVE,SUSPECTED LEAD,SUSPECTED LEAD
3431 W 71ST PL,SUSPECTED LEAD,SUSPECTED LEAD
3422 W 73RD PL,SUSPECTED LEAD,SUSPECTED LEAD
2639 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2643 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2647 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
7131 33 S CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
7136 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
2603 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2607 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2609 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2619 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2611 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2615 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
7157 S MAPLEWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2641 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2416 20 W 71ST ST,SUSPECTED LEAD,SUSPECTED LEAD
2625 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2612 W 71ST ST,SUSPECTED LEAD,SUSPECTED LEAD
2655 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
7047 57 S ROCKWELL ST,SUSPECTED LEAD,SUSPECTED LEAD
2637 W 71ST ST,SUSPECTED LEAD,SUSPECTED LEAD
2620 W 71ST ST,SUSPECTED LEAD,SUSPECTED LEAD
2419 25 W 71ST ST,SUSPECTED LEAD,SUSPECTED LEAD
6902 S TALMAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
7057 59 S CALIFORNIA AVE,SUSPECTED LEAD,SUSPECTED LEAD
2653 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
6916 18 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
7032 34 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2657 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2654 56 W 71ST ST,SUSPECTED LEAD,SUSPECTED LEAD
7050 S WASHTENAW AVE,SUSPECTED LEAD,SUSPECTED LEAD
7000 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2741 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2735 W LITHUANIAN PLAZA CT,SUSPECTED LEAD,SUSPECTED LEAD
2415 W 70TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2439 W 70TH ST,SUSPECTED LEAD,SUSPECTED LEAD
7000 04 S MAPLEWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
7001 05 S MAPLEWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
7103 09 S SAWYER AVE,SUSPECTED LEAD,SUSPECTED LEAD
7157 59 S FAIRFIELD AVE,SUSPECTED LEAD,SUSPECTED LEAD
7327 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
7256 58 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
7340 42 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
7344 46 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
2435 45 W 72ND ST,SUSPECTED LEAD,SUSPECTED LEAD
7305 07 S KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
7331 35 S KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
7339 41 S KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
7317 19 S KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
7301 S SACRAMENTO AVE,SUSPECTED LEAD,SUSPECTED LEAD
2506 58 W COLUMBUS AVE,SUSPECTED LEAD,SUSPECTED LEAD
2801 09 W 71ST ST,SUSPECTED LEAD,SUSPECTED LEAD
7314 16 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
7247 49 S MAPLEWOOD AVE,SUSPECTED LEAD,SUSPECTED LEAD
2649 59 W 72ND ST,SUSPECTED LEAD,SUSPECTED LEAD
2740 W 73RD ST,SUSPECTED LEAD,SUSPECTED LEAD
7207 09 S FRANCISCO AVE,SUSPECTED LEAD,SUSPECTED LEAD
7202 04 S CAMPBELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
7400 S ARTESIAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
7323 29 S KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
7353 55 S KEDZIE AVE,SUSPECTED LEAD,SUSPECTED LEAD
2945 49 W 71ST ST,SUSPECTED LEAD,SUSPECTED LEAD
3101 03 W 71ST ST,SUSPECTED LEAD,SUSPECTED LEAD
2442 64 W COLUMBUS AVE,SUSPECTED LEAD,SUSPECTED LEAD
2400 20 W COLUMBUS AVE,SUSPECTED LEAD,SUSPECTED LEAD
1631 33 E 83RD ST,SUSPECTED LEAD,SUSPECTED LEAD
9326 S CONSTANCE AVE,SUSPECTED LEAD,SUSPECTED LEAD
9322 S EAST END AVE,SUSPECTED LEAD,SUSPECTED LEAD
8033 S PAXTON AVE,SUSPECTED LEAD,SUSPECTED LEAD
8115 S MERRILL AVE,SUSPECTED LEAD,SUSPECTED LEAD
8231 S MERRILL AVE,SUSPECTED LEAD,SUSPECTED LEAD
8537 39 S EUCLID AVE,SUSPECTED LEAD,SUSPECTED LEAD
8560 S BENNETT AVE,SUSPECTED LEAD,SUSPECTED LEAD
8624 S BENNETT AVE,SUSPECTED LEAD,SUSPECTED LEAD
8158 S CHAPPEL AVE,SUSPECTED LEAD,SUSPECTED LEAD
8621 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8200 S MERRILL AVE,SUSPECTED LEAD,SUSPECTED LEAD
8233 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8239 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8501 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8539 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8211 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8459 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8502 S CONSTANCE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8515 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8431 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8812 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8850 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8838 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8822 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8824 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8811 S LUELLA AVE,SUSPECTED LEAD,SUSPECTED LEAD
8740 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8852 S YATES BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8858 S YATES BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8834 S YATES BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8840 S YATES BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8744 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8748 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8810 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8828 S YATES BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8752 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8930 S EUCLID AVE,SUSPECTED LEAD,SUSPECTED LEAD
9058 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
9028 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8948 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8953 55 S CREGIER AVE,SUSPECTED LEAD,SUSPECTED LEAD
9024 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
9010 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8954 S BENNETT AVE,SUSPECTED LEAD,SUSPECTED LEAD
8924 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
9020 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8936 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
9054 S CREGIER AVE,SUSPECTED LEAD,SUSPECTED LEAD
1920 E 91ST ST,SUSPECTED LEAD,SUSPECTED LEAD
8944 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
9222 S CREGIER AVE,SUSPECTED LEAD,SUSPECTED LEAD
8022 S CONSTANCE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8531 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8641 S CONSTANCE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8611 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8615 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8437 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8529 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8443 45 S CRANDON AVE,SUSPECTED LEAD,SUSPECTED LEAD
8429 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8559 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8549 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8625 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8719 S CONSTANCE AVE,SUSPECTED LEAD,SUSPECTED LEAD
8744 S MERRILL AVE,SUSPECTED LEAD,SUSPECTED LEAD
8834 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8753 S RIDGELAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
2120 E 89TH ST,SUSPECTED LEAD,SUSPECTED LEAD
2320 E 89TH ST,SUSPECTED LEAD,SUSPECTED LEAD
8818 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8738 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8800 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8830 S YATES BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8926 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
9054 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8932 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
9052 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8938 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
9004 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
9006 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8958 S BENNETT AVE,SUSPECTED LEAD,SUSPECTED LEAD
8915 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
9000 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8953 55 S CHAPPEL AVE,SUSPECTED LEAD,SUSPECTED LEAD
9052 S EUCLID AVE,SUSPECTED LEAD,SUSPECTED LEAD
1701 E 92ND ST,SUSPECTED LEAD,SUSPECTED LEAD
1720 E 91ST ST,SUSPECTED LEAD,SUSPECTED LEAD
8141 S CORNELL AVE,SUSPECTED LEAD,SUSPECTED LEAD
9036 S JEFFERY BLVD,SUSPECTED LEAD,SUSPECTED LEAD
8629 S CREGIER AVE,SUSPECTED LEAD,SUSPECTED LEAD
