Address,Private Service Line Material,Public Service Line Material
525 N PARKSIDE AVE,NOT LEAD,NOT LEAD
1533 35 W LELAND AVE,SUSPECTED LEAD,SUSPECTED LEAD
7418 S ST LAWRENCE AVE,NOT LEAD,SUSPECTED LEAD
4926 28 S KIMBARK AVE,NOT LEAD,SUSPECTED LEAD
10133 S DR MARTIN LUTHER KING JR DR,NOT LEAD,LEAD
6130 N FRANCISCO AVE,SUSPECTED LEAD,SUSPECTED LEAD
10043 S ST LAWRENCE AVE,NOT LEAD,SUSPECTED LEAD
12230 S LA SALLE ST,NOT LEAD,SUSPECTED LEAD
6830 34 S JEFFERY BLVD,NOT LEAD,NOT LEAD
5556 58 S SAWYER AVE,NOT LEAD,SUSPECTED LEAD
5420 22 S UNIVERSITY AVE,NOT LEAD,SUSPECTED LEAD
10951 S ESMOND ST,NOT LEAD,LEAD
8430 S CALUMET AVE,NOT LEAD,SUSPECTED LEAD
4910 N MONTICELLO AVE,NOT LEAD,LEAD
1905 S SPAULDING AVE,NOT LEAD,NOT LEAD
242 W 116TH ST,NOT LEAD,SUSPECTED LEAD
9211 13 S LOOMIS ST,NOT LEAD,LEAD
5847 N ST LOUIS AVE,NOT LEAD,SUSPECTED LEAD
9943 S LA SALLE ST,NOT LEAD,SUSPECTED LEAD
9705 S DOBSON AVE,NOT LEAD,SUSPECTED LEAD
2718 W 59TH ST,SUSPECTED LEAD,LEAD
6035 N NORTHWEST HWY,NOT LEAD,SUSPECTED LEAD
5536 S DR MARTIN LUTHER KING JR DR,SUSPECTED LEAD,LEAD
5139 47 N LINCOLN AVE,NOT LEAD,NOT LEAD
7200 02 S PEORIA ST,NOT LEAD,SUSPECTED LEAD
650 W 44TH ST,NOT LEAD,SUSPECTED LEAD
432 W 98TH PL,NOT LEAD,SUSPECTED LEAD
2234 N KEDZIE BLVD,NOT LEAD,SUSPECTED LEAD
1400 04 N LARAMIE AVE,NOT LEAD,NOT LEAD
2902 S QUINN ST,NOT LEAD,SUSPECTED LEAD
6719 S ST LAWRENCE AVE,NOT LEAD,SUSPECTED LEAD
6721 S ST LAWRENCE AVE,NOT LEAD,SUSPECTED LEAD
5657 59 S ROCKWELL ST,NOT LEAD,NOT LEAD
6022 24 S WESTERN AVE,SUSPECTED LEAD,SUSPECTED LEAD
7103 19 S STATE ST,NOT LEAD,SUSPECTED LEAD
438 W 98TH PL,NOT LEAD,SUSPECTED LEAD
7041 47 S CONSTANCE AVE,NOT LEAD,NOT LEAD
4130 S INDIANA AVE,NOT LEAD,LEAD
739 41 E 75TH ST,SUSPECTED LEAD,SUSPECTED LEAD
5629 31 S UNIVERSITY AVE,NOT LEAD,SUSPECTED LEAD
9212 S HALSTED ST THOUSE B,NOT LEAD,SUSPECTED LEAD
3217 W FULTON BLVD,NOT LEAD,SUSPECTED LEAD
1230 32 E 75TH ST,SUSPECTED LEAD,SUSPECTED LEAD
4438 40 W MONROE ST,NOT LEAD,SUSPECTED LEAD
1343 W 55TH ST,NOT LEAD,SUSPECTED LEAD
558 W FULLERTON PKWY,NOT LEAD,LEAD
1229 43 E 74TH ST,NOT LEAD,NOT LEAD
3001 03 S KEELER AVE,NOT LEAD,SUSPECTED LEAD
9951 S YATES AVE,NOT LEAD,LEAD
1016 18 W ARGYLE ST,NOT LEAD,SUSPECTED LEAD
30 32 W 82ND ST,NOT LEAD,SUSPECTED LEAD
8726 S JEFFERY BLVD,NOT LEAD,SUSPECTED LEAD
3671 73 N ELSTON AVE,NOT LEAD,SUSPECTED LEAD
8938 40 S BELL AVE,NOT LEAD,SUSPECTED LEAD
7144 48 S ASHLAND AVE,NOT LEAD,SUSPECTED LEAD
10507 S FOREST AVE,NOT LEAD,SUSPECTED LEAD
1248 50 W EDDY ST,NOT LEAD,SUSPECTED LEAD
2354 S ST LOUIS AVE,NOT LEAD,SUSPECTED LEAD
9214 S HALSTED ST THOUSE A,NOT LEAD,SUSPECTED LEAD
846 N ST LOUIS AVE,NOT LEAD,SUSPECTED LEAD
9212 S HALSTED ST THOUSE A,NOT LEAD,LEAD
10858 S MICHIGAN AVE,SUSPECTED LEAD,SUSPECTED LEAD
5430 32 S UNIVERSITY AVE,NOT LEAD,SUSPECTED LEAD
3261 W FULTON BLVD,NOT LEAD,SUSPECTED LEAD
